id,total_evs,avg_battery,SUV,Pickup,Sedan,Van
3634,11,88.18181818181819,6,3,2,0
3635,11,88.18181818181819,6,3,2,0
4032,11,88.18181818181819,6,3,2,0
4033,11,88.18181818181819,6,3,2,0
4034,11,88.18181818181819,6,3,2,0
4037,11,88.18181818181819,6,3,2,0
4042,11,88.18181818181819,6,3,2,0
4054,11,88.18181818181819,6,3,2,0
4060,11,88.18181818181819,6,3,2,0
4078,11,88.18181818181819,6,3,2,0
4081,11,88.18181818181819,6,3,2,0
4082,11,88.18181818181819,6,3,2,0
4083,11,88.18181818181819,6,3,2,0
4084,11,88.18181818181819,6,3,2,0
4087,11,88.18181818181819,6,3,2,0
4089,11,88.18181818181819,6,3,2,0
4091,11,88.18181818181819,6,3,2,0
4092,11,88.18181818181819,6,3,2,0
4093,11,88.18181818181819,6,3,2,0
4094,11,88.18181818181819,6,3,2,0
4097,11,88.18181818181819,6,3,2,0
4100,11,88.18181818181819,6,3,2,0
4102,11,88.18181818181819,6,3,2,0
4105,11,88.18181818181819,6,3,2,0
4108,11,88.18181818181819,6,3,2,0
4109,11,88.18181818181819,6,3,2,0
4121,4,75.0,2,0,2,0
4123,4,75.0,2,0,2,0
4124,4,75.0,2,0,2,0
4125,4,75.0,2,0,2,0
4126,4,75.0,2,0,2,0
4127,4,75.0,2,0,2,0
4128,4,75.0,2,0,2,0
4129,4,75.0,2,0,2,0
4130,4,75.0,2,0,2,0
4131,4,75.0,2,0,2,0
4132,4,75.0,2,0,2,0
4134,4,75.0,2,0,2,0
4142,4,75.0,2,0,2,0
4144,11,88.18181818181819,6,3,2,0
4146,11,88.18181818181819,6,3,2,0
4153,11,88.18181818181819,6,3,2,0
4174,11,88.18181818181819,6,3,2,0
4194,11,88.18181818181819,6,3,2,0
4199,11,88.18181818181819,6,3,2,0
4200,11,88.18181818181819,6,3,2,0
4202,11,88.18181818181819,6,3,2,0
4205,11,88.18181818181819,6,3,2,0
4208,11,88.18181818181819,6,3,2,0
4224,11,88.18181818181819,6,3,2,0
4226,11,88.18181818181819,6,3,2,0
4228,11,88.18181818181819,6,3,2,0
4235,11,88.18181818181819,6,3,2,0
4237,11,88.18181818181819,6,3,2,0
4251,11,88.18181818181819,6,3,2,0
4267,11,88.18181818181819,6,3,2,0
4275,11,88.18181818181819,6,3,2,0
4280,11,88.18181818181819,6,3,2,0
4283,11,88.18181818181819,6,3,2,0
4297,11,88.18181818181819,6,3,2,0
4302,11,88.18181818181819,6,3,2,0
4303,11,88.18181818181819,6,3,2,0
4307,11,88.18181818181819,6,3,2,0
4309,11,88.18181818181819,6,3,2,0
4314,11,88.18181818181819,6,3,2,0
4326,11,88.18181818181819,6,3,2,0
4328,11,88.18181818181819,6,3,2,0
